Occupation (O*NET-SOC Title),task_count,code_acceleration_potential,quality_risk_need,automation_exposure_index,human_complementarity_index,skill_shift_pressure
Operations Research Analysts,4,0.9246761508170471,,0.9323239112070647,,
Bioinformatics Technicians,9,0.8514591385830763,,0.8201037404332675,,
Database Architects,4,0.8072443577634802,,0.770284116747045,,
Data Warehousing Specialists,11,0.8059511573120207,,0.7588137091891198,,
Web Administrators,16,0.8055096387544385,0.3043834060799877,0.8220228313047041,0.3572522390385655,3.184472136354228
Software Quality Assurance Analysts and Testers,19,0.7873206507216302,0.36433493584990717,0.8416606742539633,0.49508484143884435,1.8380417254725905
Computer Programmers,11,0.7735335353977679,0.3576923339256958,0.8506370812518912,0.40115173108517865,2.1667851372125857
Computer and Information Research Scientists,6,0.7719258463916385,0.5646410428114194,0.6818284206003195,0.7089609966425031,1.0019360157621129
Business Intelligence Analysts,6,0.7682928680682181,0.44847734543269985,0.7746261592911935,0.5417268420482598,1.7742959983005988
Document Management Specialists,7,0.7622304174811382,,0.7426682493217319,,
Computer Systems Engineers/Architects,11,0.7604595319146246,0.5949962696331935,0.7667986624293971,0.7397469832946791,0.1064407535186361
Web Developers,13,0.7557722777035262,0.3109518050490623,0.8208593291069572,0.37558377697280587,2.3056046116955162
Computer Systems Analysts,9,0.7363580932816598,0.3900355358890366,0.799295353434799,0.46272752114152405,1.2860755124232035
Clinical Data Managers,7,0.7228918565326184,0.524569673757036,0.6293674842904338,0.6246959285882348,1.4910556465725306
Statisticians,6,0.7079167856364519,0.49554927425408674,0.7225356471001225,0.5530304303496801,1.4116499340297815
Network and Computer Systems Administrators,13,0.6750791476217793,0.4759102004974623,0.6924739431243163,0.5253074686565158,1.4619053712928334
Health Informatics Specialists,9,0.6713713128502435,0.4298066822794983,0.6922245420346457,0.5492531841444482,0.49905264193836224
Database Administrators,6,0.6631850346704061,0.3260060519507681,0.7705270349516798,0.31592896970783424,1.5643522308232383
Mathematicians,5,0.6588888290874753,0.4998976444969436,0.6521709174634083,0.5130826414798382,0.6991029819861356
Information Technology Project Managers,8,0.653904231412172,0.5671059288623351,0.636818961305689,0.7288403821160073,-0.6681390142255338
Biostatisticians,7,0.6405452827143827,0.522449599533269,0.6312592367520059,0.5687666521013298,1.1301804952382646
Computer Network Architects,4,0.6139345570657162,,0.6097027603069367,,
Geographic Information Systems Technologists and Technicians,17,0.5763883685806561,,0.5668532546758731,,
Information Security Analysts,5,0.5492734855211545,0.5592967723373844,0.5916466006428516,0.6124251845876328,-0.5087744643184388
Computer User Support Specialists,7,0.5399499341588045,0.3604045750934571,0.5927224863032253,0.4531829262241685,0.5741918529807127
Video Game Designers,16,0.5329387749516283,0.4738464619590464,0.521491741072819,0.5396166170669549,-0.4770415897011079
Computer Network Support Specialists,17,0.49375415788091237,0.33018334473306576,0.526308128188874,0.34864343184231594,1.1234411305723766
Telecommunications Engineering Specialists,7,0.3985824908681381,,0.423128647352687,,
