skill_list,task_count,occupation_count,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,skill_shift_pressure,ai_capability_score,worker_desire_score,human_agency_score,occupation_employment,paired_worker_expert_task_count,mean_signal_count,paired_worker_expert_coverage,reliable_for_ranking,dominant_transition_observed
"Inspecting Equipment, Structures, or Materials",36,24,0.622163310927004,0.5177647168870042,0.4867207765978086,0.6921567860680953,1.5637000206607128,3.5526315789473686,3.112218045112782,2.8172305764411028,4068370.0,19,3.4444444444444446,0.5277777777777778,True,Automation candidate
Working with Computers,133,64,0.5406937569525999,0.521215286438846,0.3882581665641589,0.5452433288759204,1.4673634113423824,3.7309941520467835,3.1048853193590036,2.5621905141641985,18285640.0,57,3.2706766917293235,0.42857142857142855,True,Low near-term shift
Documenting/Recording Information,420,216,0.46713557462896027,0.5474415215305439,0.4506024492036459,0.46926102210006476,0.9373251672813153,3.7392638036809815,3.0926190033551997,2.5483330234863977,70048000.0,163,3.033333333333333,0.3880952380952381,True,Low near-term shift
Processing Information,104,67,0.49135341404703264,0.5180578834816784,0.3750527754344801,0.48134114536331807,0.8949804891384018,3.8495934959349594,3.0313122514342026,2.433311776299581,33666080.0,41,3.125,0.3942307692307692,True,Low near-term shift
Monitoring and Controlling Resources,55,37,0.40586197659093215,0.5282879146919431,0.41153007157474675,0.413051917580308,0.6342322844931122,3.358695652173913,2.892046238785369,2.675448585231194,22233530.0,23,3.0,0.41818181818181815,True,Low near-term shift
Analyzing Data or Information,214,125,0.5627636467488082,0.508360402577347,0.5315863017602909,0.5998582342544635,0.5660170494785034,3.5692883895131087,3.0568262885678616,2.780586766541823,23162140.0,89,3.3130841121495327,0.4158878504672897,True,Low near-term shift
"Monitoring Processes, Materials, or Surroundings",78,61,0.44450548417907004,0.5430316943127962,0.5273601377544732,0.47992696338543356,0.4997201708391694,3.3541666666666665,3.1788690476190475,2.8018402777777776,9097620.0,40,3.217948717948718,0.5128205128205128,True,Low near-term shift
Communicating with People Outside the Organization,22,17,0.3697450145813715,0.4823200533175355,0.4343897754137116,0.38645962202977685,0.3693404326292652,4.0,2.720833333333333,2.5,5597380.0,8,3.090909090909091,0.36363636363636365,True,Low near-term shift
Evaluating Information to Determine Compliance with Standards,55,38,0.4739774475005163,0.49569358366751726,0.45020736213133106,0.4826436585469903,0.30431399125476627,3.801282051282051,2.9544261294261296,2.5370573870573874,19156550.0,26,3.2181818181818183,0.4727272727272727,True,Low near-term shift
Performing for or Working Directly with the Public,16,14,0.5112523006760694,0.4123593009478673,0.4635852576383987,0.4779959526044111,0.25358418645784697,3.958333333333333,2.7924107142857144,2.438169642857143,11555810.0,8,3.5,0.5,True,Automation candidate
Selling or Influencing Others,10,7,0.5331744404975682,0.45443942535545023,0.46535277525685415,0.5414476771468795,0.2524478727978355,3.6875,2.869940476190476,2.693452380952381,1038490.0,8,4.4,0.8,True,Low near-term shift
Getting Information,146,104,0.5049623198111322,0.49067964536689,0.48124688265090676,0.5335145568033529,0.22939322300605008,3.3663793103448274,2.9148367915609295,2.6659824849480023,19721210.0,58,3.1986301369863015,0.3972602739726027,True,Low near-term shift
"Communicating with Supervisors, Peers, or Subordinates",78,58,0.477135259177509,0.4666046039268788,0.5923830491492083,0.5290642409366013,-0.10784254726206911,3.154761904761905,2.9261224489795916,3.00390589569161,11384220.0,35,3.1923076923076925,0.44871794871794873,True,Low near-term shift
Thinking Creatively,282,118,0.5237698668957471,0.4584902985376919,0.5669843628996263,0.5591899883849024,-0.1602402440150043,3.2321937321937324,2.8930082263415593,2.943355718355718,18988640.0,117,3.265957446808511,0.4148936170212766,True,Durable human skill
"Judging the Qualities of Objects, Services, or People",74,46,0.5509941489865509,0.4830591505650747,0.6082068721831531,0.5177622484051391,-0.3227154522518434,3.0709876543209877,3.1417735042735044,2.9979276895943565,8759480.0,26,3.0675675675675675,0.35135135135135137,True,Durable human skill
"Guiding, Directing, and Motivating Subordinates",103,70,0.4645461132464886,0.5012180820195377,0.6099750091290592,0.5108716451094112,-0.3477867638702466,2.8741496598639458,3.0360787172011663,3.127432856259387,19489420.0,49,3.174757281553398,0.47572815533980584,True,Durable human skill
Making Decisions and Solving Problems,119,75,0.4803177231299638,0.44270928271965004,0.5628248759576278,0.5188484121945353,-0.3547962935180497,3.2836538461538463,2.7685668498168496,2.8465010683760683,16814490.0,52,3.302521008403361,0.4369747899159664,True,Low near-term shift
Developing Objectives and Strategies,39,31,0.6365496375417018,0.4635837747421243,0.672316583855148,0.7380668760302735,-0.4264811832369994,2.8333333333333335,2.940056022408964,3.1369281045751634,5967650.0,17,3.282051282051282,0.4358974358974359,True,Durable human skill
Staffing Organizational Units,11,3,0.4852037259045756,0.49133590047393366,0.5530124104138422,0.43259673222132167,-0.6331483115931907,2.7083333333333335,2.9312169312169316,3.206746031746032,4563780.0,6,3.4545454545454546,0.5454545454545454,True,Durable human skill
Interpreting the Meaning of Information for Others,31,25,0.4591977866304512,0.418514884478673,0.5606913773206503,0.45235085754075777,-0.8838232431805302,3.46875,2.7930803571428573,2.8983630952380954,2956010.0,16,3.5806451612903225,0.5161290322580645,True,Durable human skill
