sector,task_count,occupation_count,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,skill_shift_pressure
Legal,34,5,0.5462695056811155,0.5756812796208531,0.41925007868337505,0.6088449222955254,1.3748018183970137
Healthcare Support,8,1,0.6028625473147573,0.5601673578199052,0.4283921128701556,0.5442867198498358,1.3083702854157946
Computer and Mathematical,261,29,0.6993838028785144,0.5137094896309892,0.5093513509592689,0.7895241922289286,1.1905781153861796
Sales and Related,44,4,0.5790601558583327,0.4971206788402565,0.3664135445109441,0.5515603003284842,1.154077308331534
Office and Administrative Support,399,34,0.45183688084000795,0.5169803489024695,0.3632411534007113,0.42348245084790814,0.7952132146984362
Management,151,27,0.5360109836531813,0.5114635921079744,0.5097040064175166,0.5845971328325786,0.657264186212126
Business and Financial Operations,289,34,0.5049148174848395,0.4965631098410928,0.4819159570299116,0.5185472648771878,0.21177393810317552
Educational Instruction and Library,118,19,0.42933917679745753,0.529009922985782,0.5342021241582916,0.3774536900794566,-0.021100352489277774
Life Physical and Social Science,155,37,0.5248566527994036,0.5661950115445377,0.6810641501097284,0.5772066726207596,-0.09689397363135359
Architecture and Engineering,346,52,0.43778814790427717,0.4820206528844583,0.6152533026031773,0.46411594057445416,-1.074456397241599
Healthcare Practitioners and Technical,44,10,0.3022577218890569,0.5316519972918077,0.6688012887922135,0.3339554626509108,-1.0748585295067872
Arts Design Entertainment Sports and Media,185,19,0.3859552058243862,0.3961951652988094,0.6429953505696194,0.38958679467830104,-1.3489349487802562
Production,50,8,0.20773857747345623,0.5742002369668247,0.8759391841170605,0.18722900046926327,-2.452331958142193
Construction and Extraction,8,1,0.23691928671984985,,,0.2663508916001877,
Installation Maintenance and Repair,16,3,0.19714139809605552,,,0.14171750351947443,
Protective Service,12,3,0.5279436767587871,,,0.5807132801501642,
Transportation and Material Moving,11,1,0.12421932482936708,,,0.12910072095900346,
