skill_list,task_count,occupation_count,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,skill_shift_pressure,ai_capability_score,worker_desire_score,human_agency_score,occupation_employment,paired_worker_expert_task_count,mean_signal_count,paired_worker_expert_coverage,reliable_for_ranking,dominant_transition_observed
Repairing and Maintaining Mechanical Equipment,8,6,0.6918693028166779,0.6332444707740916,0.3086916779641394,0.6879839277334585,3.2172554085606464,3.9444444444444446,3.755555555555556,2.283333333333333,873460.0,3,3.0,0.375,False,Worker-pulled automation
"Inspecting Equipment, Structures, or Materials",36,24,0.622163310927004,0.5177647168870042,0.4867207765978086,0.6921567860680953,1.5637000206607128,3.5526315789473686,3.112218045112782,2.8172305764411028,4068370.0,19,3.4444444444444446,0.5277777777777778,True,Automation candidate
Working with Computers,133,64,0.5406937569525999,0.521215286438846,0.3882581665641589,0.5452433288759204,1.4673634113423824,3.7309941520467835,3.1048853193590036,2.5621905141641985,18285640.0,57,3.2706766917293235,0.42857142857142855,True,Low near-term shift
Establishing and Maintaining Interpersonal Relationships,1,1,0.36444570028717915,0.57760663507109,0.17337232361937413,0.11884091975598311,1.4047758831677886,4.5,3.5,1.75,105930.0,1,5.0,1.0,False,Low near-term shift
Scheduling Work and Activities,30,26,0.43580846163539255,0.5306723933649289,0.3236893997960853,0.43602377600500547,1.3558395316760223,3.55,3.238253968253969,2.2765476190476193,10674020.0,10,2.9,0.3333333333333333,False,Low near-term shift
Performing Administrative Activities,77,40,0.45490749181508267,0.5336505233017378,0.3562760028607815,0.42565681620116164,1.2461991364460068,3.9583333333333335,3.0229497354497354,2.380059523809524,30701020.0,24,2.844155844155844,0.3116883116883117,False,Low near-term shift
Documenting/Recording Information,420,216,0.46713557462896027,0.5474415215305439,0.4506024492036459,0.46926102210006476,0.9373251672813153,3.7392638036809815,3.0926190033551997,2.5483330234863977,70048000.0,163,3.033333333333333,0.3880952380952381,True,Low near-term shift
Processing Information,104,67,0.49135341404703264,0.5180578834816784,0.3750527754344801,0.48134114536331807,0.8949804891384018,3.8495934959349594,3.0313122514342026,2.433311776299581,33666080.0,41,3.125,0.3942307692307692,True,Low near-term shift
"Estimating the Quantifiable Characteristics of Products, Events, or Information",42,30,0.3866962527825538,0.538126269465132,0.3969508027741364,0.37592735357869095,0.7551934833059919,4.166666666666667,3.2823979591836734,2.3621598639455783,9941570.0,14,2.8333333333333335,0.3333333333333333,False,Low near-term shift
Monitoring and Controlling Resources,55,37,0.40586197659093215,0.5282879146919431,0.41153007157474675,0.413051917580308,0.6342322844931122,3.358695652173913,2.892046238785369,2.675448585231194,22233530.0,23,3.0,0.41818181818181815,True,Low near-term shift
Analyzing Data or Information,214,125,0.5627636467488082,0.508360402577347,0.5315863017602909,0.5998582342544635,0.5660170494785034,3.5692883895131087,3.0568262885678616,2.780586766541823,23162140.0,89,3.3130841121495327,0.4158878504672897,True,Low near-term shift
"Monitoring Processes, Materials, or Surroundings",78,61,0.44450548417907004,0.5430316943127962,0.5273601377544732,0.47992696338543356,0.4997201708391694,3.3541666666666665,3.1788690476190475,2.8018402777777776,9097620.0,40,3.217948717948718,0.5128205128205128,True,Low near-term shift
Communicating with People Outside the Organization,22,17,0.3697450145813715,0.4823200533175355,0.4343897754137116,0.38645962202977685,0.3693404326292652,4.0,2.720833333333333,2.5,5597380.0,8,3.090909090909091,0.36363636363636365,True,Low near-term shift
Evaluating Information to Determine Compliance with Standards,55,38,0.4739774475005163,0.49569358366751726,0.45020736213133106,0.4826436585469903,0.30431399125476627,3.801282051282051,2.9544261294261296,2.5370573870573874,19156550.0,26,3.2181818181818183,0.4727272727272727,True,Low near-term shift
Performing for or Working Directly with the Public,16,14,0.5112523006760694,0.4123593009478673,0.4635852576383987,0.4779959526044111,0.25358418645784697,3.958333333333333,2.7924107142857144,2.438169642857143,11555810.0,8,3.5,0.5,True,Automation candidate
Selling or Influencing Others,10,7,0.5331744404975682,0.45443942535545023,0.46535277525685415,0.5414476771468795,0.2524478727978355,3.6875,2.869940476190476,2.693452380952381,1038490.0,8,4.4,0.8,True,Low near-term shift
Getting Information,146,104,0.5049623198111322,0.49067964536689,0.48124688265090676,0.5335145568033529,0.22939322300605008,3.3663793103448274,2.9148367915609295,2.6659824849480023,19721210.0,58,3.1986301369863015,0.3972602739726027,True,Low near-term shift
"Identifying Objects, Actions, and Events",10,8,0.49954982239239704,0.5385071090047393,0.5980504856979596,0.5230642890661661,0.1082598274337726,2.3333333333333335,4.0,4.0,567590.0,1,2.6,0.1,False,Low near-term shift
