O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),task_norm,occupation_norm,task_importance_weight,skill_list,skill_id_list,worker_rater_count,worker_desire_score,worker_time_score,core_skill_score,job_security_score,enjoyment_score,worker_physical_requirement,worker_interpersonal_requirement,worker_uncertainty_requirement,worker_domain_expertise_requirement,worker_human_agency_score,automation_desire_free_time_share,automation_desire_repetitive_share,automation_desire_human_error_share,automation_desire_stress_share,automation_desire_difficulty_share,automation_desire_scale_share,human_agency_physical_share,human_agency_control_share,human_agency_domain_knowledge_share,human_agency_empathy_share,human_agency_quality_oversight_share,human_agency_dynamic_share,human_agency_ethical_share,expert_rater_count,ai_capability_score,expert_physical_requirement,expert_uncertainty_requirement,expert_domain_expertise_requirement,expert_interpersonal_requirement,expert_human_agency_score,dwa_count,dwa_titles,anthropic_usage_pct,paper_count,recent_paper_count,company_count,recent_company_count,sector,human_agency_score,physical_requirement,uncertainty_requirement,domain_expertise_requirement,interpersonal_requirement,paper_count_log,company_count_log,recent_paper_count_log,recent_company_count_log,automation_reason_intensity,human_agency_reason_intensity,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,has_worker_signal,has_expert_signal,has_usage_signal,has_paper_signal,has_company_signal,paired_worker_expert_signal,signal_count,skill_shift_pressure,capability_desire_gap,desire_capability_gap,transition_type,mismatch_type
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,08/2018,3.0,3.0,4.07,87.26,149270.0,21100.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],"inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications",advertising and promotions managers,31.44333333333334,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],10.0,3.7,2.7,2.7,2.8,3.1,2.7,3.5,3.3,3.2,3.1,0.7,0.2,0.5,0.2,0.0,0.5,0.1,0.4,0.4,0.6,0.3,0.2,0.2,4.0,4.0,1.25,2.25,2.75,1.75,2.0,1.0,Examine marketing materials to ensure compliance with policies or regulations.,,1.0,0.0,147.0,41.0,Management,2.55,1.975,2.775,2.975,2.625,0.6931471805599453,4.997212273764115,0.0,3.7376696182833684,0.3499999999999999,0.31428571428571433,0.5131375222382341,0.6843898104265403,0.5354271004896194,0.36262318160488033,True,True,False,True,True,True,4,1.1550162574953466,0.2999999999999998,-0.2999999999999998,Low near-term shift,Moderate or mixed
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,08/2018,3.0,3.0,3.87,80.19,149270.0,21100.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],coordinate with the media to disseminate advertising,advertising and promotions managers,29.02,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2'],5.0,3.0,2.4,3.2,2.8,3.4,2.6,3.4,3.6,3.6,2.8,0.4,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.2,0.4,0.4,0.2,0.2,3.0,3.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.0,1.0,Coordinate operational activities with external stakeholders.,,6.0,5.0,139.0,37.0,Management,2.9,2.1333333333333333,2.966666666666667,2.966666666666667,3.3666666666666667,1.9459101490553132,4.941642422609304,1.791759469228055,3.6375861597263857,0.2333333333333333,0.19999999999999998,0.45708570877056354,0.45675355450236965,0.6000680649389937,0.38033786954481463,True,True,False,True,True,True,4,-0.8674346745154491,0.3333333333333335,-0.3333333333333335,Durable human skill,Moderate or mixed
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,08/2018,3.0,3.0,3.67,81.73,149270.0,21100.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],prepare budgets and submit estimates for program costs as part of campaign plan development,advertising and promotions managers,29.46666666666667,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],10.0,2.9,2.8,2.8,2.5,2.7,2.3,2.4,3.2,2.6,2.9,0.3,0.1,0.3,0.0,0.0,0.4,0.2,0.4,0.1,0.3,0.1,0.1,0.1,3.0,4.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.0,1.0,Prepare operational budgets.,,6.0,4.0,138.0,36.0,Management,2.45,1.8166666666666664,2.4333333333333336,2.1333333333333333,2.2,1.9459101490553132,4.9344739331306915,1.6094379124341003,3.6109179126442243,0.18333333333333335,0.18571428571428575,0.5349582636741798,0.47156398104265407,0.3005223914042105,0.36426560300328487,True,True,False,True,True,True,4,0.9968173597340002,1.1,-1.1,Low near-term shift,Moderate or mixed
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,08/2018,5.0,5.0,3.61,79.02,149270.0,21100.0,['Selling or Influencing Others'],['4.A.4.a.6'],contact organizations to explain services and facilities offered,advertising and promotions managers,29.209999999999997,['Selling or Influencing Others'],['4.A.4.a.6'],6.0,3.1666666666666665,3.0,2.8333333333333335,2.5,2.8333333333333335,2.5,3.8333333333333335,3.1666666666666665,3.5,2.3333333333333335,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,2.0,2.0,1.0,1.0,3.5,4.5,4.0,1.0,"Promote products, services, or programs.",0.0050813670180193,11.0,4.0,138.0,36.0,Management,3.166666666666667,1.75,2.083333333333333,3.5,4.166666666666667,2.4849066497880004,4.9344739331306915,1.6094379124341003,3.6109179126442243,0.2777777777777778,0.11904761904761904,0.35161784018017234,0.560574644549763,0.5711387852509159,0.36426560300328487,True,True,True,True,True,True,5,-0.6017978501632022,-1.1666666666666665,1.1666666666666665,Low near-term shift,Moderate or mixed
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,08/2018,3.0,3.0,3.59,77.04,149270.0,21100.0,['Analyzing Data or Information'],['4.A.2.a.4'],monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,advertising and promotions managers,27.87666666666667,['Analyzing Data or Information'],['4.A.2.a.4'],6.0,3.6666666666666665,2.1666666666666665,2.6666666666666665,3.0,2.3333333333333335,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,2.0,4.5,1.0,1.5,3.0,1.0,1.5,1.0,Analyze data to assess operational or project effectiveness.,0.0577191176662193,3.0,1.0,138.0,36.0,Management,2.083333333333333,2.166666666666667,2.416666666666667,3.333333333333333,2.083333333333333,1.3862943611198906,4.9344739331306915,0.6931471805599453,3.6109179126442243,0.27777777777777773,0.21428571428571427,0.6467030370377116,0.760367298578199,0.3720720872127547,0.333646175504458,True,True,True,True,True,True,5,3.0573784426872903,0.8333333333333335,-0.8333333333333335,Worker-pulled automation,Moderate or mixed
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,08/2018,3.0,3.0,3.25,86.55,149270.0,21100.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],"read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning",advertising and promotions managers,30.933333333333334,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],6.0,3.5,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.5,2.1666666666666665,1.6666666666666667,1.6666666666666667,2.5,2.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,2.0,2.5,2.0,1.5,4.0,2.0,3.5,1.0,Maintain knowledge of current developments in area of expertise.,0.0024755377780094,15.0,9.0,138.0,36.0,Management,2.75,2.083333333333333,1.5833333333333335,3.25,1.8333333333333335,2.772588722239781,4.9344739331306915,2.302585092994046,3.6109179126442243,0.16666666666666666,0.07142857142857142,0.33893354893135236,0.45586492890995256,0.280908484868856,0.4232754575316753,True,True,True,True,True,True,5,0.008936433227356044,-1.0,1.0,Low near-term shift,Moderate or mixed
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,07/2015,5.0,5.0,4.3,98.32,171520.0,384980.0,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']","identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors",marketing managers,35.87333333333333,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Develop marketing plans or strategies. | Evaluate program effectiveness.,0.0083386535680316,12.0,7.0,251.0,68.0,Management,,,,,,2.5649493574615367,5.529429087511423,2.0794415416798357,4.23410650459726,,,0.5538384569355944,,,0.5507977475363679,False,False,True,True,True,False,3,,,,Insufficient signal,Missing worker/expert pair
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,07/2015,3.0,3.0,3.7,84.1,171520.0,384980.0,['Processing Information'],['4.A.2.a.2'],compile lists describing product or service offerings,marketing managers,30.266666666666666,['Processing Information'],['4.A.2.a.2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Compile operational data.,,23.0,16.0,249.0,68.0,Management,,,,,,3.1780538303479458,5.521460917862246,2.833213344056216,4.23410650459726,,,0.6667057719380572,,,0.645236977944627,False,False,False,True,True,False,2,,,,Insufficient signal,Missing worker/expert pair
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,07/2017,5.0,5.0,3.71,77.98,126030.0,254140.0,['Documenting/Recording Information'],['4.A.3.b.6'],prepare and review operational reports and schedules to ensure accuracy and efficiency,administrative services managers,28.896666666666665,['Documenting/Recording Information'],['4.A.3.b.6'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Prepare operational progress or status reports.,,59.0,48.0,83.0,28.0,Management,,,,,,4.0943445622221,4.430816798843313,3.8918202981106265,3.367295829986474,,,0.6083998122946973,,,0.6045283904270295,False,False,False,True,True,False,2,,,,Insufficient signal,Missing worker/expert pair
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,07/2017,5.0,5.0,3.7,92.79,126030.0,254140.0,['Thinking Creatively'],['4.A.2.b.2'],set goals and deadlines for the department,administrative services managers,33.830000000000005,['Thinking Creatively'],['4.A.2.b.2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Develop organizational goals or objectives.,,49.0,38.0,83.0,28.0,Management,,,,,,3.912023005428146,4.430816798843313,3.6635616461296463,3.367295829986474,,,0.5797747536367903,,,0.5726184889723135,False,False,False,True,True,False,2,,,,Insufficient signal,Missing worker/expert pair
