group_variable,group_value,response_count,user_count,automation_desire,job_security,human_agency,core_skill
LLM Familiarity,I have heard of them but don't know much about their functionalities.,379,95,2.5171503957783643,2.5065963060686016,2.928759894459103,2.941952506596306
LLM Familiarity,I have some experience using them.,2099,495,2.782277274892806,2.37065269175798,2.907098618389709,3.1557884707003336
LLM Familiarity,I use them regularly.,3227,763,3.1995661605206074,2.3731019522776573,2.866129532073133,3.216299969011466
LLM Familiarity,"No, I've never heard of them.",26,8,3.0384615384615383,2.3076923076923075,2.269230769230769,2.5
LLM Use in Work,"No, I have not used them for any work-related activities.",870,219,2.460919540229885,2.532183908045977,2.8701149425287356,2.9827586206896552
LLM Use in Work,"No, I've never heard of them.",57,22,2.912280701754386,2.456140350877193,2.473684210526316,3.0350877192982457
LLM Use in Work,"Yes, I have used them occasionally for specific tasks.",1611,372,2.8857852265673496,2.367473618870267,2.8535071384233395,3.158907510862818
LLM Use in Work,"Yes, I use them every day in my work.",1999,470,3.3426713356678337,2.3781890945472735,2.9154577288644323,3.2841420710355176
LLM Use in Work,"Yes, I use them every week in my work.",1194,278,2.9815745393634843,2.2889447236180906,2.8953098827470685,3.1499162479061975
Education,Associate Degree,363,98,2.713498622589532,2.3333333333333335,2.8705234159779613,3.121212121212121
Education,Bachelor’s Degree,2567,579,2.991429684456564,2.336969224776003,2.8570315543435916,3.1464744838332686
Education,"Doctorate (e.g., PhD)",235,67,3.5361702127659576,2.8468085106382977,3.3148936170212764,3.297872340425532
Education,High School,221,62,2.81447963800905,2.167420814479638,2.832579185520362,2.909502262443439
Education,Master’s Degree,1441,346,3.162387231089521,2.376821651630812,2.9319916724496875,3.3143650242886884
Education,Prefer not to say,36,13,3.3055555555555554,3.1944444444444446,2.611111111111111,3.5555555555555554
Education,"Professional Degree (e.g., MD, JD)",165,42,2.8424242424242423,2.315151515151515,2.9393939393939394,3.327272727272727
Education,"Some College, No Degree",703,154,2.7539118065433854,2.458036984352774,2.7524893314367,2.9900426742532007
Experience,1-2 year,755,225,2.9509933774834436,2.451655629139073,2.794701986754967,3.0079470198675495
Experience,3-5 years,1582,385,2.9917825537294562,2.534134007585335,2.892541087231353,3.187104930467762
Experience,6-10 years,1263,284,3.0158353127474267,2.31353919239905,2.880443388756928,3.1179730799683294
Experience,Less than 1 year,159,47,2.949685534591195,2.339622641509434,2.69811320754717,2.811320754716981
Experience,More than 10 years,1972,420,3.0218052738336714,2.2768762677484786,2.9244421906693714,3.2885395537525355
Income,0-30K,668,163,2.8622754491017965,2.5239520958083834,2.946107784431138,3.1392215568862274
Income,165K-209K,464,106,3.226293103448276,2.288793103448276,2.8060344827586206,3.1120689655172415
Income,209K-529K,232,53,3.3060344827586206,2.146551724137931,2.939655172413793,3.168103448275862
Income,30-60K,1361,329,2.9742836149889786,2.4298310066127846,2.9213813372520208,3.099926524614254
Income,529K+,52,14,4.076923076923077,3.1346153846153846,3.173076923076923,3.5384615384615383
Income,60-86K,1142,258,2.9754816112084064,2.3879159369527145,2.8117338003502628,3.1628721541155866
Income,86K-165K,1600,382,2.940625,2.308125,2.840625,3.23375
Income,Prefer not to say,212,56,3.108490566037736,2.3962264150943398,3.1650943396226414,3.3867924528301887
